trade_id,side,entry_time,exit_time,entry_price,exit_price,quantity,position_value,pnl_net,pnl_net_pct,runup_usd,runup_pct,drawdown_usd,drawdown_pct,equity,peak_equity,equity_drawdown,trade_duration_min
1,LONG,2011-01-02 18:00:00,2011-01-06 07:30:00,1256.25,1276.75,3,3768.75,3075.0,1.63,3075.0,1.63,-75.0,-0.04,3075.0,3075.0,0.0,5130.0
2,LONG,2011-01-09 19:30:00,2011-01-13 08:15:00,1265.5,1283.25,3,3796.5,2662.5,1.4,2850.0,1.5,-1125.0,-0.59,5737.5,5737.5,0.0,5085.0
3,LONG,2011-01-17 06:45:00,2011-01-19 12:30:00,1286.25,1279.25,3,3858.75,-1050.0,-0.54,1500.0,0.78,-1050.0,-0.54,4687.5,5737.5,-1050.0,3225.0
4,LONG,2011-01-19 15:30:00,2011-01-20 11:30:00,1275.0,1267.75,3,3825.0,-1087.5,-0.57,975.0,0.51,-1087.5,-0.57,3600.0,5737.5,-2137.5,1200.0
5,LONG,2011-01-30 19:00:00,2011-01-31 21:15:00,1267.5,1287.75,3,3802.5,3037.5,1.6,3037.5,1.6,-337.5,-0.18,6637.5,6637.5,0.0,1575.0
6,LONG,2011-02-15 10:15:00,2011-02-18 05:15:00,1322.25,1335.25,3,3966.75,1950.0,0.98,2662.5,1.34,0.0,0.0,8587.5,8587.5,0.0,4020.0
7,LONG,2011-02-22 12:45:00,2011-02-22 15:15:00,1318.0,1311.0,3,3954.0,-1050.0,-0.53,300.0,0.15,-1050.0,-0.53,7537.5,8587.5,-1050.0,150.0
8,LONG,2011-03-01 10:15:00,2011-03-01 13:15:00,1319.0,1311.5,3,3957.0,-1125.0,-0.57,900.0,0.45,-1125.0,-0.57,6412.5,8587.5,-2175.0,180.0
9,LONG,2011-03-07 03:00:00,2011-03-07 11:30:00,1317.0,1310.25,3,3951.0,-1012.5,-0.51,1537.5,0.78,-1012.5,-0.51,5400.0,8587.5,-3187.5,510.0
10,LONG,2011-03-13 19:45:00,2011-03-14 10:30:00,1299.25,1292.5,3,3897.75,-1012.5,-0.52,975.0,0.5,-1012.5,-0.52,4387.5,8587.5,-4200.0,885.0
11,LONG,2011-03-14 15:30:00,2011-03-14 20:30:00,1296.0,1283.75,3,3888.0,-1837.5,-0.95,375.0,0.19,-1875.0,-0.96,2550.0,8587.5,-6037.5,300.0
12,LONG,2011-03-15 06:00:00,2011-03-16 14:00:00,1257.25,1248.75,3,3771.75,-1275.0,-0.68,3975.0,2.11,-1275.0,-0.68,1275.0,8587.5,-7312.5,1920.0
13,LONG,2011-03-16 23:15:00,2011-03-18 15:45:00,1256.5,1273.5,3,3769.5,2550.0,1.35,4650.0,2.47,-112.5,-0.06,3825.0,8587.5,-4762.5,2430.0
14,LONG,2011-03-20 20:15:00,2011-03-22 20:00:00,1279.5,1286.25,3,3838.5,1012.5,0.53,2550.0,1.33,-300.0,-0.16,4837.5,8587.5,-3750.0,2865.0
15,LONG,2011-04-11 04:30:00,2011-04-11 15:00:00,1324.0,1317.25,3,3972.0,-1012.5,-0.51,937.5,0.47,-1012.5,-0.51,3825.0,8587.5,-4762.5,630.0
16,LONG,2011-04-14 08:30:00,2011-04-18 00:00:00,1300.75,1316.25,3,3902.25,2325.0,1.19,2775.0,1.42,-375.0,-0.19,6150.0,8587.5,-2437.5,5250.0
17,LONG,2011-04-18 00:00:00,2011-04-18 03:15:00,1316.25,1312.5,3,3948.75,-562.5,-0.28,150.0,0.08,-562.5,-0.28,5587.5,8587.5,-3000.0,195.0
18,LONG,2011-04-18 09:00:00,2011-04-20 07:30:00,1300.5,1326.0,3,3901.5,3825.0,1.96,4237.5,2.17,-1537.5,-0.79,9412.5,9412.5,0.0,2790.0
19,LONG,2011-04-25 01:30:00,2011-04-28 06:45:00,1333.0,1351.0,3,3999.0,2700.0,1.35,3487.5,1.74,-862.5,-0.43,12112.5,12112.5,0.0,4635.0
20,LONG,2011-05-03 14:00:00,2011-05-04 10:00:00,1347.75,1341.25,3,4043.25,-975.0,-0.48,1087.5,0.54,-975.0,-0.48,11137.5,12112.5,-975.0,1200.0
21,LONG,2011-05-09 08:45:00,2011-05-11 05:15:00,1335.25,1358.25,3,4005.75,3450.0,1.72,3450.0,1.72,-112.5,-0.06,14587.5,14587.5,0.0,2670.0
22,LONG,2011-05-16 04:45:00,2011-05-16 15:45:00,1329.5,1324.75,3,3988.5,-712.5,-0.36,1762.5,0.88,-712.5,-0.36,13875.0,14587.5,-712.5,660.0
23,LONG,2011-05-16 15:45:00,2011-05-17 11:30:00,1324.75,1318.0,3,3974.25,-1012.5,-0.51,1087.5,0.55,-1012.5,-0.51,12862.5,14587.5,-1725.0,1185.0
24,LONG,2011-05-23 23:00:00,2011-05-24 20:45:00,1316.75,1309.0,3,3950.25,-1162.5,-0.59,862.5,0.44,-1162.5,-0.59,11700.0,14587.5,-2887.5,1305.0
25,LONG,2011-05-24 20:45:00,2011-05-27 07:00:00,1309.25,1327.5,3,3927.75,2737.5,1.39,3225.0,1.64,-1050.0,-0.53,14437.5,14587.5,-150.0,3495.0
26,LONG,2011-06-01 14:30:00,2011-06-01 18:00:00,1319.25,1311.0,3,3957.75,-1237.5,-0.63,300.0,0.15,-1237.5,-0.63,13200.0,14587.5,-1387.5,210.0
27,LONG,2011-06-01 18:00:00,2011-06-02 11:45:00,1311.0,1304.25,3,3933.0,-1012.5,-0.51,1012.5,0.51,-1012.5,-0.51,12187.5,14587.5,-2400.0,1065.0
28,SHORT,2011-06-12 23:15:00,2011-06-13 09:30:00,1270.0,1276.75,3,3810.0,-1012.5,-0.53,187.5,0.1,-1012.5,-0.53,11175.0,14587.5,-3412.5,615.0
29,LONG,2011-06-16 07:45:00,2011-06-21 19:15:00,1254.25,1288.5,3,3762.75,5137.5,2.73,5775.0,3.07,-300.0,-0.16,16312.5,16312.5,0.0,7890.0
30,LONG,2011-06-26 22:15:00,2011-06-28 09:00:00,1261.25,1283.25,3,3783.75,3300.0,1.74,3300.0,1.74,-300.0,-0.16,19612.5,19612.5,0.0,2085.0
31,LONG,2011-07-04 18:15:00,2011-07-06 10:15:00,1334.0,1327.25,3,4002.0,-1012.5,-0.51,1012.5,0.51,-1012.5,-0.51,18600.0,19612.5,-1012.5,2400.0
32,LONG,2011-07-06 10:15:00,2011-07-07 08:15:00,1327.5,1346.5,3,3982.5,2850.0,1.43,2850.0,1.43,-150.0,-0.08,21450.0,21450.0,0.0,1320.0
33,LONG,2011-07-11 10:45:00,2011-07-11 22:15:00,1315.25,1307.25,3,3945.75,-1200.0,-0.61,750.0,0.38,-1200.0,-0.61,20250.0,21450.0,-1200.0,690.0
34,LONG,2011-07-11 22:15:00,2011-07-13 13:15:00,1307.25,1322.75,3,3921.75,2325.0,1.19,3075.0,1.57,-1800.0,-0.92,22575.0,22575.0,0.0,2340.0
35,LONG,2011-07-18 19:00:00,2011-07-21 10:45:00,1301.25,1339.0,3,3903.75,5662.5,2.9,6037.5,3.09,-75.0,-0.04,28237.5,28237.5,0.0,3825.0
36,LONG,2011-07-24 21:15:00,2011-07-27 08:30:00,1330.0,1320.75,3,3990.0,-1387.5,-0.7,1537.5,0.77,-1387.5,-0.7,26850.0,28237.5,-1387.5,3555.0
37,LONG,2011-08-02 15:30:00,2011-08-03 10:15:00,1254.0,1244.0,3,3762.0,-1500.0,-0.8,712.5,0.38,-1500.0,-0.8,25350.0,28237.5,-2887.5,1125.0
38,LONG,2011-08-08 16:00:00,2011-08-08 20:00:00,1115.5,1104.5,3,3346.5,-1650.0,-0.99,412.5,0.25,-2325.0,-1.39,23700.0,28237.5,-4537.5,240.0
39,LONG,2011-08-14 21:15:00,2011-08-18 03:45:00,1184.75,1174.5,3,3554.25,-1537.5,-0.87,3300.0,1.86,-1537.5,-0.87,22162.5,28237.5,-6075.0,4710.0
40,LONG,2011-08-18 10:00:00,2011-08-18 15:00:00,1148.5,1129.5,3,3445.5,-2850.0,-1.65,0.0,0.0,-2850.0,-1.65,19312.5,28237.5,-8925.0,300.0
41,LONG,2011-08-22 00:45:00,2011-08-24 09:45:00,1120.0,1163.75,2,2240.0,4375.0,3.91,4375.0,3.91,-450.0,-0.4,23687.5,28237.5,-4550.0,3420.0
42,LONG,2011-09-02 09:30:00,2011-09-04 18:00:00,1177.25,1165.0,2,2354.5,-1225.0,-1.04,800.0,0.68,-1225.0,-1.04,22462.5,28237.5,-5775.0,3390.0
43,LONG,2011-09-06 06:45:00,2011-09-07 13:15:00,1152.0,1192.5,2,2304.0,4050.0,3.52,4050.0,3.52,-1600.0,-1.39,26512.5,28237.5,-1725.0,1830.0
44,LONG,2011-09-11 21:30:00,2011-09-12 03:45:00,1147.25,1135.0,2,2294.5,-1225.0,-1.07,175.0,0.15,-1225.0,-1.07,25287.5,28237.5,-2950.0,375.0
45,LONG,2011-09-19 13:45:00,2011-09-20 11:15:00,1189.0,1214.25,2,2378.0,2525.0,2.12,2525.0,2.12,-375.0,-0.32,27812.5,28237.5,-425.0,1290.0
46,LONG,2011-09-26 00:15:00,2011-09-26 02:00:00,1130.25,1120.25,2,2260.5,-1000.0,-0.88,150.0,0.13,-1000.0,-0.88,26812.5,28237.5,-1425.0,105.0
47,LONG,2011-10-17 07:00:00,2011-10-17 11:00:00,1219.5,1207.5,2,2439.0,-1200.0,-0.98,50.0,0.04,-1650.0,-1.35,25612.5,28237.5,-2625.0,240.0
48,LONG,2011-10-17 12:45:00,2011-10-18 03:45:00,1199.75,1187.5,2,2399.5,-1225.0,-1.02,450.0,0.38,-1225.0,-1.02,24387.5,28237.5,-3850.0,900.0
49,LONG,2011-11-01 11:15:00,2011-11-03 20:15:00,1222.0,1254.75,2,2444.0,3275.0,2.68,3775.0,3.09,-1150.0,-0.94,27662.5,28237.5,-575.0,3420.0
50,LONG,2011-11-07 08:30:00,2011-11-09 14:00:00,1243.75,1230.75,2,2487.5,-1300.0,-1.05,3150.0,2.53,-1300.0,-1.05,26362.5,28237.5,-1875.0,3210.0
51,LONG,2011-11-13 20:30:00,2011-11-14 04:30:00,1268.0,1260.75,3,3804.0,-1087.5,-0.57,375.0,0.2,-1087.5,-0.57,25275.0,28237.5,-2962.5,480.0
52,LONG,2011-11-14 04:30:00,2011-11-14 11:45:00,1260.75,1250.25,3,3782.25,-1575.0,-0.83,450.0,0.24,-1800.0,-0.95,23700.0,28237.5,-4537.5,435.0
53,LONG,2011-11-14 19:30:00,2011-11-15 04:00:00,1253.75,1242.25,3,3761.25,-1725.0,-0.92,150.0,0.08,-1725.0,-0.92,21975.0,28237.5,-6262.5,510.0
54,LONG,2011-12-05 05:45:00,2011-12-05 23:45:00,1256.5,1247.75,3,3769.5,-1312.5,-0.7,1462.5,0.78,-1312.5,-0.7,20662.5,28237.5,-7575.0,1080.0
55,LONG,2011-12-05 23:45:00,2011-12-08 13:00:00,1247.75,1240.5,3,3743.25,-1087.5,-0.58,3637.5,1.94,-1087.5,-0.58,19575.0,28237.5,-8662.5,3675.0
56,LONG,2011-12-11 18:45:00,2011-12-12 04:45:00,1256.75,1245.5,3,3770.25,-1687.5,-0.9,562.5,0.3,-1687.5,-0.9,17887.5,28237.5,-10350.0,600.0
57,LONG,2011-12-13 06:15:00,2011-12-13 14:30:00,1236.5,1224.75,3,3709.5,-1762.5,-0.95,1125.0,0.61,-1762.5,-0.95,16125.0,28237.5,-12112.5,495.0
58,LONG,2011-12-18 20:00:00,2011-12-19 15:00:00,1210.5,1197.75,3,3631.5,-1912.5,-1.05,1387.5,0.76,-1912.5,-1.05,14212.5,28237.5,-14025.0,1140.0
59,LONG,2011-12-20 07:15:00,2011-12-20 16:00:00,1208.75,1236.5,3,3626.25,4162.5,2.3,4275.0,2.36,-37.5,-0.02,18375.0,28237.5,-9862.5,525.0
60,LONG,2011-12-27 15:15:00,2011-12-28 02:00:00,1262.25,1254.5,3,3786.75,-1162.5,-0.61,37.5,0.02,-1162.5,-0.61,17212.5,28237.5,-11025.0,645.0
61,LONG,2011-12-28 03:45:00,2011-12-28 10:15:00,1258.75,1250.75,3,3776.25,-1200.0,-0.64,862.5,0.46,-1200.0,-0.64,16012.5,28237.5,-12225.0,390.0
